Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (11832833),James Harden,11832833,PG/SG/G/UTIL,11600,HOU@MIA 12/20/2018 08:00PM ET,HOU,56.52
SG/SF,Luka Doncic (11832837),Luka Doncic,11832837,SG/SF/F/G/UTIL,8400,DAL@LAC 12/20/2018 10:30PM ET,DAL,36.36
PG,Chris Paul (11832842),Chris Paul,11832842,PG/G/UTIL,8200,HOU@MIA 12/20/2018 08:00PM ET,HOU,38.48
C,Clint Capela (11832845),Clint Capela,11832845,C/UTIL,8000,HOU@MIA 12/20/2018 08:00PM ET,HOU,39.71
SF/PF,Tobias Harris (11832847),Tobias Harris,11832847,SF/PF/F/UTIL,7800,DAL@LAC 12/20/2018 10:30PM ET,LAC,37.48
C,DeAndre Jordan (11832851),DeAndre Jordan,11832851,C/UTIL,7400,DAL@LAC 12/20/2018 10:30PM ET,DAL,34.56
C,Hassan Whiteside (11832853),Hassan Whiteside,11832853,C/UTIL,7000,HOU@MIA 12/20/2018 08:00PM ET,MIA,38.40
SG/SF,Josh Richardson (11832855),Josh Richardson,11832855,SG/SF/F/G/UTIL,6800,HOU@MIA 12/20/2018 08:00PM ET,MIA,32.43
SF/PF,Danilo Gallinari (11832860),Danilo Gallinari,11832860,SF/PF/F/UTIL,6600,DAL@LAC 12/20/2018 10:30PM ET,LAC,32.5
SF/PF,Harrison Barnes (11832864),Harrison Barnes,11832864,SF/PF/F/UTIL,6000,DAL@LAC 12/20/2018 10:30PM ET,DAL,28.08
PG/SG,Dwyane Wade (11832868),Dwyane Wade,11832868,PG/SG/G/UTIL,5900,HOU@MIA 12/20/2018 08:00PM ET,MIA,26.67
PF/C,Montrezl Harrell (11832872),Montrezl Harrell,11832872,PF/C/F/UTIL,5800,DAL@LAC 12/20/2018 10:30PM ET,LAC,30.31
PG,Goran Dragic (11832876),Goran Dragic,11832876,PG/G/UTIL,5700,HOU@MIA 12/20/2018 08:00PM ET,MIA,28.05
PG,Dennis Smith Jr. (11832879),Dennis Smith Jr.,11832879,PG/G/UTIL,5400,DAL@LAC 12/20/2018 10:30PM ET,DAL,25.48
PG/SG,Lou Williams (11832882),Lou Williams,11832882,PG/SG/G/UTIL,5300,DAL@LAC 12/20/2018 10:30PM ET,LAC,27.95
PG/SG,Shai Gilgeous-Alexander (11832886),Shai Gilgeous-Alexander,11832886,PG/SG/G/UTIL,5200,DAL@LAC 12/20/2018 10:30PM ET,LAC,21.86
PG/SG,Tyler Johnson (11832890),Tyler Johnson,11832890,PG/SG/G/UTIL,5100,HOU@MIA 12/20/2018 08:00PM ET,MIA,20.90
PF/C,Bam Adebayo (11832894),Bam Adebayo,11832894,PF/C/F/UTIL,5000,HOU@MIA 12/20/2018 08:00PM ET,MIA,22.67
SF/PF,Justise Winslow (11832898),Justise Winslow,11832898,SF/PF/F/UTIL,4900,HOU@MIA 12/20/2018 08:00PM ET,MIA,24.15
SG/SF,Wesley Matthews (11832902),Wesley Matthews,11832902,SG/SF/F/G/UTIL,4800,DAL@LAC 12/20/2018 10:30PM ET,DAL,24.24
PF/C,Kelly Olynyk (11832907),Kelly Olynyk,11832907,PF/C/F/UTIL,4700,HOU@MIA 12/20/2018 08:00PM ET,MIA,20.98
SG/SF,Eric Gordon (11832911),Eric Gordon,11832911,SG/SF/F/G/UTIL,4600,HOU@MIA 12/20/2018 08:00PM ET,HOU,22.86
PG/SG,J.J. Barea (11832916),J.J. Barea,11832916,PG/SG/G/UTIL,4500,DAL@LAC 12/20/2018 10:30PM ET,DAL,23.64
SF/PF,Derrick Jones Jr. (11832920),Derrick Jones Jr.,11832920,SF/PF/F/UTIL,4400,HOU@MIA 12/20/2018 08:00PM ET,MIA,15
PG/SG,Patrick Beverley (11832924),Patrick Beverley,11832924,PG/SG/G/UTIL,4300,DAL@LAC 12/20/2018 10:30PM ET,LAC,19.01
SG/SF,Dion Waiters (11832928),Dion Waiters,11832928,SG/SF/F/G/UTIL,4000,HOU@MIA 12/20/2018 08:00PM ET,MIA,0
SG,Avery Bradley (11832933),Avery Bradley,11832933,SG/G/UTIL,3900,DAL@LAC 12/20/2018 10:30PM ET,LAC,14.88
PG,Jalen Brunson (11832936),Jalen Brunson,11832936,PG/G/UTIL,3800,DAL@LAC 12/20/2018 10:30PM ET,DAL,11.19
SG/SF,Rodney McGruder (11832939),Rodney McGruder,11832939,SG/SF/F/G/UTIL,3800,HOU@MIA 12/20/2018 08:00PM ET,MIA,22.92
C,Boban Marjanovic (11832948),Boban Marjanovic,11832948,C/UTIL,3700,DAL@LAC 12/20/2018 10:30PM ET,LAC,16.82
PG/SG,Wayne Ellington (11832944),Wayne Ellington,11832944,PG/SG/G/UTIL,3700,HOU@MIA 12/20/2018 08:00PM ET,MIA,17.92
SF/PF,P.J. Tucker (11832950),P.J. Tucker,11832950,SF/PF/F/UTIL,3700,HOU@MIA 12/20/2018 08:00PM ET,HOU,20.9
PF/C,Dwight Powell (11832954),Dwight Powell,11832954,PF/C/F/UTIL,3600,DAL@LAC 12/20/2018 10:30PM ET,DAL,17.62
SF/PF,James Johnson (11832958),James Johnson,11832958,SF/PF/F/UTIL,3600,HOU@MIA 12/20/2018 08:00PM ET,MIA,16.25
SF/PF,Dorian Finney-Smith (11832962),Dorian Finney-Smith,11832962,SF/PF/F/UTIL,3500,DAL@LAC 12/20/2018 10:30PM ET,DAL,18.62
PG/SG,Tyrone Wallace (11832970),Tyrone Wallace,11832970,PG/SG/G/UTIL,3500,DAL@LAC 12/20/2018 10:30PM ET,LAC,7.41
SF/PF,Danuel House Jr. (11832966),Danuel House Jr.,11832966,SF/PF/F/UTIL,3500,HOU@MIA 12/20/2018 08:00PM ET,HOU,13.40
C,Marcin Gortat (11832974),Marcin Gortat,11832974,C/UTIL,3400,DAL@LAC 12/20/2018 10:30PM ET,LAC,15.33
PF/C,Dirk Nowitzki (11832976),Dirk Nowitzki,11832976,PF/C/F/UTIL,3400,DAL@LAC 12/20/2018 10:30PM ET,DAL,5.67
SG/SF,Gerald Green (11832980),Gerald Green,11832980,SG/SF/F/G/UTIL,3400,HOU@MIA 12/20/2018 08:00PM ET,HOU,12.56
